Museum ID,Display Name,Activation Code,Active,Museum Group,Environment,App Title,Logo File,Base URL,Tour Timings File,Cue Cards File,Tour Theme Cue Card File,Package File,Additional Content File 2,Additional Content File 3,Notes
MIM,Musical Instrument Museum,MIM-2026-7X4P,yes,MIM,production,TourSync,mim_logo_72.png,https://raw.githubusercontent.com/KerryOlsson/toursync-data/refs/heads/main/,MIM_TourTimings.csv,MIM_CueCards.csv,MIM_TourThemeCueCard.csv,MIM_content.zip,,,Phase 2 single-museum profile baseline
MIM_TEST,MIM Test,MIMTEST-2026-7X4P,yes,MIM,test,TourSync,Test_Logo.png,https://raw.githubusercontent.com/KerryOlsson/toursync-data/refs/heads/main/,MIM_TEST_TourTimings.csv,MIM_TEST_CueCards.csv,MIM_TEST_TourThemeCueCard.csv,MIM_TEST_content.zip,,,Test Setup
